Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31,0,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,1,Research Scientist,3,Divorced,2911,Y,No,17,3,4,5,2,5,2,4,3
34,0,Travel_Rarely,Research & Development,19,2,Medical,2,Male,1,Laboratory Technician,4,Divorced,2661,Y,No,11,3,3,3,3,2,2,1,2
28,1,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,1,Laboratory Technician,3,Single,2028,Y,Yes,14,3,2,6,3,4,2,0,3
29,0,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,3,Manufacturing Director,1,Divorced,9980,Y,No,11,3,3,10,3,10,9,8,8
32,0,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,1,Research Scientist,2,Divorced,3298,Y,Yes,12,3,4,7,2,6,2,0,5
22,0,Non-Travel,Research & Development,16,2,Medical,4,Male,1,Laboratory Technician,4,Divorced,2935,Y,Yes,13,3,2,1,2,1,0,0,0
53,0,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,4,Manager,4,Married,15427,Y,No,16,3,3,31,3,25,8,3,7
38,0,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,1,Research Scientist,4,Single,3944,Y,Yes,11,3,3,6,3,3,2,1,2
24,0,Non-Travel,Research & Development,11,2,Other,1,Female,2,Manufacturing Director,3,Divorced,4011,Y,No,18,3,4,5,2,4,2,1,3
36,1,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,1,Sales Representative,1,Single,3407,Y,No,23,4,2,10,3,5,3,0,3
34,0,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,Research Director,2,Single,11994,Y,No,11,3,3,13,3,12,6,2,11
21,0,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,1,Research Scientist,4,Single,1232,Y,No,14,3,4,0,3,0,0,0,0
34,1,Travel_Rarely,Research & Development,6,1,Medical,2,Male,1,Research Scientist,1,Single,2960,Y,No,11,3,3,8,3,4,2,1,3
53,0,Travel_Rarely,Research & Development,5,3,Other,3,Female,5,Manager,3,Divorced,19094,Y,No,11,3,4,26,2,14,13,4,8
32,1,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,1,Research Scientist,1,Single,3919,Y,Yes,22,4,2,10,3,10,2,6,7
42,0,Travel_Rarely,Sales,8,4,Marketing,3,Male,2,Sales Executive,2,Married,6825,Y,No,11,3,4,10,3,9,7,4,2
44,0,Travel_Rarely,Research & Development,7,4,Medical,1,Female,3,Healthcare Representative,4,Married,10248,Y,No,14,3,4,24,3,22,6,5,17
46,0,Travel_Rarely,Sales,2,4,Marketing,2,Female,5,Manager,1,Single,18947,Y,No,12,3,4,22,2,2,2,2,1
33,0,Travel_Rarely,Research & Development,2,3,Medical,3,Male,1,Laboratory Technician,4,Single,2496,Y,No,11,3,4,7,3,1,1,0,0
44,0,Travel_Rarely,Research & Development,10,4,Other,4,Male,2,Healthcare Representative,4,Married,6465,Y,Yes,13,3,4,9,4,4,2,1,3
30,0,Travel_Rarely,Research & Development,9,2,Medical,4,Male,1,Laboratory Technician,3,Single,2206,Y,No,13,3,1,10,3,10,0,1,8
39,1,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,2,Sales Representative,4,Married,2086,Y,No,14,3,3,19,4,1,0,0,0
24,1,Travel_Rarely,Research & Development,1,3,Medical,2,Male,1,Research Scientist,4,Married,2293,Y,Yes,16,3,1,6,2,2,0,2,0
43,0,Travel_Rarely,Research & Development,2,2,Medical,4,Female,1,Research Scientist,3,Divorced,2645,Y,No,12,3,4,6,2,5,3,1,4
50,1,Travel_Rarely,Sales,3,2,Marketing,1,Male,1,Sales Representative,3,Married,2683,Y,Yes,14,3,3,3,3,3,2,0,2
35,0,Travel_Rarely,Sales,2,3,Marketing,4,Female,1,Sales Representative,4,Married,2014,Y,No,13,3,1,2,3,2,2,2,2
36,0,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,1,Research Scientist,1,Married,3419,Y,Yes,14,3,4,6,4,1,1,0,0
33,0,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,2,Sales Executive,1,Married,5376,Y,No,19,3,1,10,3,5,3,1,3
35,0,Travel_Rarely,Research & Development,4,2,Other,3,Male,1,Laboratory Technician,4,Divorced,1951,Y,No,12,3,3,1,3,1,0,0,0
27,0,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,1,Laboratory Technician,1,Divorced,2341,Y,No,13,3,4,1,3,1,0,0,0
26,1,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,Laboratory Technician,3,Single,2293,Y,No,12,3,3,1,2,1,0,0,1
27,0,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,3,Sales Executive,3,Single,8726,Y,No,15,3,4,9,3,9,8,1,7
30,0,Travel_Frequently,Research & Development,1,2,Medical,3,Female,2,Laboratory Technician,4,Single,4011,Y,No,23,4,4,12,3,12,8,3,7
41,1,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,5,Research Director,3,Married,19545,Y,No,12,3,4,23,3,22,15,15,8
34,0,Non-Travel,Sales,23,4,Marketing,2,Male,2,Sales Executive,3,Single,4568,Y,No,20,4,3,10,3,9,5,8,7
37,0,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,1,Research Scientist,2,Married,3022,Y,No,21,4,1,8,3,1,0,0,0
46,0,Travel_Frequently,Sales,5,4,Marketing,1,Male,2,Sales Executive,4,Single,5772,Y,Yes,21,4,3,14,3,9,6,0,8
35,0,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,1,Laboratory Technician,4,Married,2269,Y,No,19,3,4,1,3,1,0,0,1
48,1,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,3,Laboratory Technician,3,Single,5381,Y,Yes,13,3,4,23,3,1,0,0,0
28,1,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,1,Laboratory Technician,3,Single,3441,Y,Yes,13,3,3,2,2,2,2,2,2
44,0,Travel_Rarely,Sales,1,5,Marketing,2,Female,2,Sales Executive,1,Divorced,5454,Y,Yes,21,4,3,9,2,4,3,1,3
35,0,Non-Travel,Research & Development,11,2,Medical,3,Male,3,Healthcare Representative,1,Married,9884,Y,Yes,13,3,3,10,3,4,0,2,3
26,0,Travel_Rarely,Sales,23,3,Marketing,3,Female,2,Sales Executive,4,Married,4157,Y,Yes,19,3,3,5,2,2,2,0,0
33,0,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,3,Research Director,4,Single,13458,Y,Yes,12,3,3,15,3,15,14,8,12
35,0,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,3,Sales Executive,1,Married,9069,Y,No,22,4,4,9,2,9,8,1,8
35,0,Travel_Rarely,Research & Development,23,4,Medical,3,Female,1,Laboratory Technician,1,Married,4014,Y,Yes,15,3,3,4,3,2,2,2,2
31,0,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,2,Laboratory Technician,4,Divorced,5915,Y,No,22,4,4,10,2,7,7,1,7
37,0,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,Manufacturing Director,3,Divorced,5993,Y,No,18,3,3,7,4,7,5,0,7
32,0,Travel_Rarely,Research & Development,1,3,Medical,1,Male,2,Manufacturing Director,4,Married,6162,Y,Yes,22,4,2,9,3,9,8,7,8
38,0,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,2,Laboratory Technician,4,Single,2406,Y,No,11,3,4,10,3,10,3,9,9
50,0,Travel_Rarely,Research & Development,7,2,Medical,2,Female,5,Research Director,3,Divorced,18740,Y,Yes,12,3,4,29,2,27,3,13,8
59,0,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,3,Sales Executive,1,Single,7637,Y,No,11,3,4,28,2,21,16,7,9
36,0,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,3,Healthcare Representative,3,Divorced,10096,Y,No,13,3,2,17,3,17,14,12,8
55,0,Travel_Rarely,Research & Development,8,3,Medical,4,Female,4,Manager,3,Divorced,14756,Y,Yes,14,3,3,21,3,5,0,0,2
36,0,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,2,Manufacturing Director,2,Single,6499,Y,No,13,3,3,6,3,6,5,0,3
45,0,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,3,Research Scientist,1,Divorced,9724,Y,No,17,3,3,25,3,1,0,0,0
35,0,Travel_Frequently,Research & Development,1,3,Medical,2,Male,1,Research Scientist,1,Married,2194,Y,No,13,3,4,5,2,3,2,1,2
36,1,Travel_Rarely,Research & Development,9,3,Medical,4,Male,1,Research Scientist,3,Married,3388,Y,Yes,17,3,1,2,2,1,0,0,0
59,0,Travel_Frequently,Sales,1,1,Life Sciences,1,Female,2,Sales Executive,3,Single,5473,Y,No,11,3,4,20,2,4,3,1,3
29,0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,1,Research Scientist,2,Married,2703,Y,No,23,4,4,6,3,5,4,0,4
31,0,Travel_Rarely,Research & Development,1,4,Medical,3,Male,1,Research Scientist,2,Single,2501,Y,No,17,3,2,1,3,1,1,1,0
32,0,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,2,Research Scientist,2,Married,6220,Y,No,17,3,2,10,3,10,4,0,9
36,0,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,1,Laboratory Technician,4,Married,3038,Y,No,12,3,2,5,3,1,0,0,0
31,0,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,2,Manufacturing Director,4,Single,4424,Y,No,23,4,4,11,3,11,7,1,8
35,0,Travel_Rarely,Sales,1,4,Marketing,3,Male,2,Sales Executive,1,Single,4312,Y,No,14,3,2,16,3,15,13,2,8
45,0,Travel_Rarely,Research & Development,6,4,Other,4,Male,3,Research Director,1,Married,13245,Y,Yes,14,3,2,17,4,0,0,0,0
37,0,Travel_Rarely,Research & Development,7,4,Medical,1,Male,3,Research Director,3,Single,13664,Y,No,13,3,1,16,4,5,2,0,2
46,0,Travel_Rarely,Human Resources,5,2,Medical,2,Male,2,Human Resources,2,Divorced,5021,Y,Yes,22,4,4,16,3,4,2,0,2
30,0,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,2,Laboratory Technician,4,Married,5126,Y,Yes,12,3,3,10,2,10,8,3,0
35,0,Travel_Rarely,Research & Development,1,3,Medical,2,Male,1,Research Scientist,3,Single,2859,Y,No,18,3,1,6,3,6,4,0,4
55,0,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,3,Sales Executive,4,Married,10239,Y,No,14,3,4,24,3,1,0,1,0
38,0,Non-Travel,Research & Development,6,3,Medical,2,Female,2,Research Scientist,4,Divorced,5329,Y,Yes,12,3,4,17,3,13,11,1,9
34,0,Travel_Rarely,Research & Development,1,2,Medical,1,Male,2,Manufacturing Director,2,Married,4325,Y,No,15,3,3,5,3,5,2,1,3
56,0,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,3,Manufacturing Director,4,Single,7260,Y,No,11,3,1,37,2,6,4,0,2
23,0,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,1,Sales Representative,1,Divorced,2322,Y,No,13,3,3,3,3,0,0,0,0
51,0,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,1,Laboratory Technician,4,Married,2075,Y,No,23,4,2,10,3,4,2,0,3
30,0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,Healthcare Representative,4,Married,4152,Y,No,19,3,1,11,3,11,10,10,8
46,1,Travel_Rarely,Sales,9,2,Medical,3,Male,3,Sales Executive,4,Single,9619,Y,No,16,3,4,9,3,9,8,4,7
40,0,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,4,Healthcare Representative,2,Married,13503,Y,No,22,4,4,22,2,22,3,11,11
51,0,Travel_Rarely,Sales,21,4,Marketing,3,Male,2,Sales Executive,4,Single,5441,Y,Yes,22,4,4,11,1,10,7,1,0
30,0,Travel_Rarely,Sales,4,2,Medical,3,Female,2,Sales Executive,2,Divorced,5209,Y,Yes,12,3,2,11,2,11,8,2,7
46,0,Travel_Frequently,Research & Development,1,3,Medical,3,Male,3,Healthcare Representative,1,Married,10673,Y,Yes,13,3,3,21,2,10,9,9,5
32,0,Travel_Rarely,Sales,6,4,Medical,2,Male,2,Sales Executive,3,Single,5010,Y,No,16,3,1,12,3,11,8,5,7
54,0,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Female,3,Research Director,3,Married,13549,Y,No,12,3,1,16,1,4,3,0,3
24,0,Travel_Rarely,Sales,3,2,Other,1,Female,2,Sales Executive,3,Married,4999,Y,No,21,4,1,4,2,3,2,0,2
28,0,Non-Travel,Sales,4,3,Medical,2,Male,2,Sales Executive,3,Married,4221,Y,No,15,3,2,5,4,5,4,0,4
58,0,Travel_Rarely,Sales,10,4,Medical,4,Male,4,Sales Executive,3,Single,13872,Y,No,13,3,3,38,2,37,10,1,8
44,0,Non-Travel,Research & Development,23,3,Medical,2,Male,2,Laboratory Technician,2,Married,2042,Y,No,12,3,3,17,4,3,2,1,2
37,1,Travel_Rarely,Human Resources,6,4,Human Resources,3,Male,1,Human Resources,1,Divorced,2073,Y,Yes,22,4,4,7,3,3,2,0,2
32,0,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,1,Research Scientist,1,Single,2956,Y,No,13,3,4,1,3,1,0,0,0
20,1,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,1,Laboratory Technician,4,Single,2926,Y,Yes,18,3,2,1,3,1,0,1,0
34,0,Travel_Rarely,Research & Development,6,4,Other,1,Female,2,Research Scientist,3,Single,4809,Y,No,14,3,3,16,3,16,13,2,10
37,0,Non-Travel,Research & Development,2,2,Life Sciences,3,Male,2,Healthcare Representative,4,Divorced,5163,Y,No,14,3,4,17,4,1,0,0,0
59,0,Non-Travel,Human Resources,2,4,Human Resources,3,Female,5,Manager,4,Married,18844,Y,No,21,4,4,30,3,3,2,2,2
50,0,Travel_Frequently,Research & Development,1,3,Life Sciences,1,Female,5,Research Director,2,Married,18172,Y,Yes,19,3,1,28,2,8,3,0,7
25,1,Travel_Rarely,Sales,5,3,Marketing,3,Male,2,Sales Executive,3,Single,5744,Y,Yes,11,3,4,6,3,6,4,0,3
25,0,Travel_Rarely,Research & Development,7,1,Medical,4,Male,1,Research Scientist,4,Married,2889,Y,No,11,3,3,2,3,2,2,2,1
22,0,Travel_Rarely,Research & Development,15,3,Medical,2,Female,1,Laboratory Technician,4,Single,2871,Y,No,15,3,3,1,3,0,0,0,0
51,0,Travel_Frequently,Research & Development,1,4,Medical,1,Female,3,Healthcare Representative,1,Single,7484,Y,No,20,4,3,23,2,13,12,12,8
34,1,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,2,Laboratory Technician,3,Single,6074,Y,Yes,24,4,4,9,3,9,7,0,6
54,0,Non-Travel,Human Resources,26,3,Human Resources,4,Female,4,Manager,4,Single,17328,Y,Yes,12,3,3,23,3,5,3,4,4
24,0,Travel_Rarely,Research & Development,18,1,Life Sciences,2,Male,1,Laboratory Technician,3,Married,2774,Y,No,12,3,3,6,3,5,3,1,2
34,0,Travel_Rarely,Research & Development,6,4,Life Sciences,3,Female,2,Research Scientist,2,Divorced,4505,Y,No,15,3,3,12,3,1,0,0,0
37,0,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,3,Sales Executive,4,Single,7428,Y,No,12,3,1,12,3,5,3,1,3
34,0,Travel_Rarely,Research & Development,5,3,Medical,3,Female,3,Manager,1,Single,11631,Y,No,12,3,4,14,3,11,10,5,8
36,0,Travel_Frequently,Sales,11,2,Technical Degree,2,Female,3,Sales Executive,4,Married,9738,Y,No,14,3,3,10,3,9,7,2,8
36,0,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Female,1,Laboratory Technician,4,Divorced,2835,Y,No,22,4,1,7,3,1,0,0,0
43,0,Travel_Frequently,Sales,26,2,Life Sciences,3,Male,4,Manager,4,Married,16959,Y,Yes,12,3,4,25,4,25,12,4,12
30,0,Travel_Frequently,Research & Development,23,3,Life Sciences,1,Male,1,Research Scientist,3,Divorced,2613,Y,No,25,4,3,10,2,10,7,0,9
33,0,Non-Travel,Sales,22,2,Marketing,3,Male,2,Sales Executive,2,Married,6146,Y,No,13,3,1,8,4,7,7,0,7
56,1,Travel_Rarely,Research & Development,14,4,Life Sciences,2,Female,1,Research Scientist,2,Married,4963,Y,Yes,18,3,1,7,3,5,4,4,3
51,0,Travel_Rarely,Research & Development,6,3,Life Sciences,1,Male,5,Research Director,3,Single,19537,Y,No,13,3,3,23,3,20,18,15,15
31,1,Travel_Rarely,Sales,6,4,Life Sciences,2,Male,2,Sales Executive,3,Married,6172,Y,Yes,18,3,2,12,2,7,7,7,7
26,0,Travel_Rarely,Research & Development,6,3,Other,3,Female,1,Research Scientist,2,Married,2368,Y,No,19,3,3,5,2,5,4,4,3
58,1,Travel_Rarely,Research & Development,23,4,Medical,4,Female,3,Healthcare Representative,4,Married,10312,Y,No,12,3,4,40,2,40,10,15,6
19,1,Travel_Rarely,Sales,22,1,Marketing,4,Male,1,Sales Representative,3,Single,1675,Y,Yes,19,3,4,0,2,0,0,0,0
22,0,Travel_Rarely,Research & Development,2,1,Technical Degree,3,Male,1,Laboratory Technician,4,Married,2523,Y,No,14,3,3,3,3,2,1,2,1
49,0,Travel_Rarely,Research & Development,20,4,Medical,3,Female,2,Manufacturing Director,1,Married,6567,Y,No,14,3,3,16,2,15,11,5,11
43,0,Travel_Frequently,Research & Development,28,3,Medical,2,Female,1,Research Scientist,3,Single,4739,Y,No,12,3,4,18,3,3,2,1,2
50,0,Travel_Frequently,Sales,12,3,Marketing,3,Female,3,Sales Executive,4,Single,9208,Y,No,11,3,4,16,3,2,2,2,1
31,1,Travel_Rarely,Sales,20,3,Life Sciences,2,Female,2,Sales Executive,3,Married,4559,Y,Yes,11,3,3,4,3,2,2,2,2
41,0,Travel_Rarely,Sales,9,1,Life Sciences,3,Male,3,Sales Executive,3,Divorced,8189,Y,Yes,13,3,3,12,3,9,7,0,7
26,0,Travel_Rarely,Human Resources,25,1,Life Sciences,3,Female,1,Human Resources,3,Married,2942,Y,No,23,4,4,8,3,8,7,5,7
36,0,Travel_Rarely,Research & Development,6,2,Medical,2,Male,2,Manufacturing Director,2,Divorced,4941,Y,No,20,4,4,7,3,3,2,0,1
51,1,Travel_Frequently,Research & Development,8,4,Life Sciences,1,Male,3,Manufacturing Director,4,Single,10650,Y,No,15,3,4,18,3,4,2,0,3
39,0,Travel_Rarely,Sales,4,4,Life Sciences,4,Female,2,Sales Executive,3,Married,5902,Y,No,14,3,3,17,4,15,11,5,9
25,0,Travel_Rarely,Sales,28,3,Life Sciences,1,Male,2,Sales Executive,3,Married,8639,Y,No,18,3,4,6,3,2,2,2,2
30,0,Travel_Rarely,Human Resources,9,3,Human Resources,3,Male,2,Human Resources,4,Married,6347,Y,Yes,19,3,4,12,1,11,9,4,7
32,1,Travel_Rarely,Research & Development,9,3,Medical,1,Female,1,Laboratory Technician,1,Single,4200,Y,No,22,4,1,10,4,5,4,0,4
45,0,Travel_Rarely,Research & Development,29,3,Medical,3,Male,1,Research Scientist,4,Single,3452,Y,No,13,3,2,9,2,6,5,0,3
38,0,Travel_Rarely,Research & Development,3,5,Technical Degree,4,Female,2,Research Scientist,3,Single,4317,Y,Yes,20,4,2,19,3,3,2,2,2
30,0,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Female,1,Research Scientist,3,Single,2632,Y,No,14,3,3,5,2,5,4,0,4
32,0,Travel_Frequently,Sales,9,2,Medical,4,Male,2,Sales Executive,4,Divorced,4668,Y,No,17,3,4,9,4,8,7,0,7
30,0,Travel_Rarely,Research & Development,5,3,Technical Degree,4,Female,1,Research Scientist,1,Divorced,3204,Y,No,14,3,4,8,3,3,2,2,2
30,0,Travel_Rarely,Research & Development,2,1,Medical,2,Male,1,Laboratory Technician,4,Single,2720,Y,No,13,3,4,6,3,5,3,1,2
41,0,Travel_Frequently,Research & Development,10,3,Life Sciences,4,Male,4,Manager,1,Divorced,17181,Y,No,13,3,2,21,2,7,6,7,7
41,0,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,1,Laboratory Technician,1,Married,2238,Y,No,21,4,4,7,3,5,0,1,4
19,0,Travel_Rarely,Research & Development,3,1,Medical,2,Female,1,Laboratory Technician,2,Single,1483,Y,No,14,3,4,1,3,1,0,0,0
40,0,Travel_Frequently,Research & Development,26,3,Medical,2,Female,2,Research Scientist,2,Divorced,5605,Y,No,11,3,1,20,3,20,7,2,13
35,0,Travel_Rarely,Sales,1,5,Marketing,3,Male,3,Sales Executive,2,Married,7295,Y,No,13,3,1,10,3,10,8,0,6
53,0,Travel_Rarely,Sales,6,2,Marketing,2,Male,2,Sales Representative,3,Married,2306,Y,Yes,20,4,4,13,1,7,7,4,5
45,0,Travel_Rarely,Research & Development,9,3,Life Sciences,2,Male,2,Laboratory Technician,2,Divorced,2348,Y,No,18,3,3,20,1,17,9,0,15
32,0,Travel_Frequently,Sales,8,3,Marketing,2,Female,3,Sales Executive,4,Single,8998,Y,No,14,3,4,9,3,9,8,3,7
29,0,Non-Travel,Research & Development,1,1,Technical Degree,4,Male,2,Manufacturing Director,3,Married,4319,Y,No,13,3,1,10,3,10,7,0,9
51,0,Travel_Rarely,Research & Development,7,4,Medical,2,Male,2,Manufacturing Director,3,Married,6132,Y,No,17,3,3,10,3,1,0,0,0
58,0,Travel_Rarely,Research & Development,9,3,Medical,2,Female,1,Research Scientist,2,Married,3346,Y,Yes,20,4,2,9,2,1,0,0,0
40,0,Travel_Rarely,Sales,4,4,Marketing,3,Male,3,Sales Executive,4,Married,10855,Y,No,11,3,1,15,2,12,11,2,11
34,0,Travel_Frequently,Sales,2,4,Marketing,3,Female,1,Sales Representative,3,Married,2231,Y,No,18,3,4,6,3,4,3,1,2
22,0,Travel_Rarely,Research & Development,19,1,Medical,3,Male,1,Research Scientist,4,Married,2323,Y,No,24,4,1,2,3,2,2,2,2
27,0,Non-Travel,Research & Development,9,3,Medical,4,Male,1,Research Scientist,2,Divorced,2024,Y,No,18,3,4,6,1,2,2,2,2
28,0,Travel_Rarely,Research & Development,21,3,Medical,3,Male,1,Research Scientist,4,Married,2713,Y,No,11,3,3,5,1,5,2,0,2
57,0,Travel_Rarely,Research & Development,24,2,Life Sciences,3,Male,3,Healthcare Representative,4,Divorced,9439,Y,Yes,16,3,2,12,1,5,3,1,4
27,0,Non-Travel,Research & Development,3,3,Medical,3,Male,1,Research Scientist,3,Divorced,2566,Y,Yes,15,3,4,1,2,1,1,0,1
50,0,Travel_Rarely,Research & Development,11,3,Life Sciences,3,Female,5,Manager,2,Single,19926,Y,No,15,3,2,21,3,5,4,4,4
41,0,Travel_Rarely,Research & Development,14,3,Life Sciences,1,Male,1,Research Scientist,3,Divorced,2451,Y,No,12,3,1,13,3,9,8,1,8
30,0,Travel_Rarely,Sales,5,3,Life Sciences,2,Female,3,Sales Executive,4,Married,9419,Y,No,12,3,3,12,3,10,9,7,4
38,0,Travel_Rarely,Sales,1,4,Life Sciences,1,Female,2,Sales Executive,4,Single,8686,Y,No,22,4,3,12,4,8,3,0,7
32,0,Travel_Rarely,Research & Development,6,5,Life Sciences,3,Male,1,Research Scientist,3,Single,3038,Y,No,20,4,1,8,3,5,4,1,4
27,0,Travel_Rarely,Research & Development,17,3,Technical Degree,3,Male,1,Research Scientist,2,Married,3058,Y,Yes,16,3,4,6,2,5,2,1,1
19,1,Travel_Frequently,Sales,1,1,Technical Degree,3,Female,1,Sales Representative,1,Single,2325,Y,No,21,4,1,1,4,0,0,0,0
36,0,Travel_Frequently,Research & Development,3,2,Medical,4,Male,1,Laboratory Technician,2,Single,2088,Y,No,12,3,3,13,2,8,7,7,2
30,0,Non-Travel,Research & Development,9,3,Medical,3,Male,2,Laboratory Technician,1,Divorced,3072,Y,No,11,3,3,12,3,12,9,6,10
45,0,Travel_Rarely,Sales,4,2,Life Sciences,3,Female,2,Sales Executive,1,Divorced,5006,Y,Yes,11,3,1,9,4,5,4,0,3
56,0,Travel_Rarely,Research & Development,8,3,Life Sciences,3,Female,1,Research Scientist,1,Divorced,4257,Y,Yes,18,3,3,19,3,2,2,2,2
33,0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,1,Research Scientist,4,Single,2500,Y,No,14,3,1,4,4,3,1,0,2
19,1,Travel_Rarely,Research & Development,2,3,Life Sciences,2,Male,1,Laboratory Technician,4,Single,1102,Y,No,22,4,3,1,2,1,0,1,0
46,0,Travel_Rarely,Sales,1,2,Marketing,2,Female,3,Sales Executive,1,Divorced,10453,Y,No,25,4,3,24,3,24,13,15,7
38,0,Travel_Rarely,Research & Development,9,2,Life Sciences,3,Female,1,Laboratory Technician,4,Single,2288,Y,No,12,3,3,2,3,2,2,2,1
31,0,Travel_Rarely,Research & Development,12,1,Medical,3,Female,1,Research Scientist,4,Married,3929,Y,Yes,23,4,3,7,3,4,2,0,2
34,0,Travel_Rarely,Research & Development,27,2,Medical,4,Female,1,Research Scientist,2,Single,2311,Y,No,15,3,4,9,3,3,2,1,2
